method_family,asset,frequency,regime_method,regime_label,count,mean,median
quantile,BTCUSDT,5m,quantile_2_rolling_240,low_vol,3093,101.97769156159069,22.0
quantile,BTCUSDT,5m,quantile_2_rolling_30,high_vol,3092,102.01067270375162,50.0
quantile,BTCUSDT,5m,quantile_2_rolling_30,low_vol,3093,101.97769156159069,22.0
quantile,BTCUSDT,5m,quantile_2_rolling_60,high_vol,3092,102.01067270375162,50.0
quantile,BTCUSDT,5m,quantile_2_rolling_60,low_vol,3093,101.97769156159069,22.0
quantile,BTCUSDT,5m,quantile_3_rolling_240,high_vol,2788,75.42252510760402,39.5
quantile,BTCUSDT,5m,quantile_3_rolling_240,low_vol,2825,74.43469026548672,17.0
quantile,BTCUSDT,5m,quantile_3_rolling_240,medium_vol,5573,37.731562892517495,20.0
quantile,BTCUSDT,5m,quantile_3_rolling_30,high_vol,2788,75.42252510760402,39.5
quantile,BTCUSDT,5m,quantile_3_rolling_30,low_vol,2825,74.43469026548672,17.0
quantile,BTCUSDT,5m,quantile_3_rolling_30,medium_vol,5573,37.731562892517495,20.0
quantile,BTCUSDT,5m,quantile_3_rolling_60,high_vol,2788,75.42252510760402,39.5
quantile,BTCUSDT,5m,quantile_3_rolling_60,low_vol,2825,74.43469026548672,17.0
quantile,BTCUSDT,5m,quantile_3_rolling_60,medium_vol,5573,37.731562892517495,20.0
quantile,BTCUSDT,5m,quantile_4_rolling_240,extreme_vol,2317,68.06603366422098,36.0
quantile,BTCUSDT,5m,quantile_4_rolling_240,high_vol,5320,29.644360902255638,17.0
quantile,BTCUSDT,5m,quantile_4_rolling_240,low_vol,2358,66.88252756573367,16.0
quantile,BTCUSDT,5m,quantile_4_rolling_240,medium_vol,5405,29.178168362627197,16.0
quantile,BTCUSDT,5m,quantile_4_rolling_30,extreme_vol,2317,68.06603366422098,36.0
quantile,BTCUSDT,5m,quantile_4_rolling_30,high_vol,5320,29.644360902255638,17.0
quantile,BTCUSDT,5m,quantile_4_rolling_30,low_vol,2358,66.88252756573367,16.0
quantile,BTCUSDT,5m,quantile_4_rolling_30,medium_vol,5405,29.178168362627197,16.0
quantile,BTCUSDT,5m,quantile_4_rolling_60,extreme_vol,2317,68.06603366422098,36.0
quantile,BTCUSDT,5m,quantile_4_rolling_60,high_vol,5320,29.644360902255638,17.0
quantile,BTCUSDT,5m,quantile_4_rolling_60,low_vol,2358,66.88252756573367,16.0
quantile,BTCUSDT,5m,quantile_4_rolling_60,medium_vol,5405,29.178168362627197,16.0
quantile,DAX,1d,quantile_2_rolling_240,high_vol,35,58.0,10.0
quantile,DAX,1d,quantile_2_rolling_240,low_vol,35,57.97142857142857,8.0
quantile,DAX,1d,quantile_2_rolling_30,high_vol,35,58.0,10.0
quantile,DAX,1d,quantile_2_rolling_30,low_vol,35,57.97142857142857,8.0
quantile,DAX,1d,quantile_2_rolling_60,high_vol,35,58.0,10.0
quantile,DAX,1d,quantile_2_rolling_60,low_vol,35,57.97142857142857,8.0
quantile,DAX,1d,quantile_3_rolling_240,high_vol,24,56.375,5.5
quantile,DAX,1d,quantile_3_rolling_240,low_vol,31,43.645161290322584,19.0
quantile,DAX,1d,quantile_3_rolling_240,medium_vol,55,24.6,16.0
quantile,DAX,1d,quantile_3_rolling_30,high_vol,24,56.375,5.5
quantile,DAX,1d,quantile_3_rolling_30,low_vol,31,43.645161290322584,19.0
quantile,DAX,1d,quantile_3_rolling_30,medium_vol,55,24.6,16.0
quantile,DAX,1d,quantile_3_rolling_60,high_vol,24,56.375,5.5
quantile,DAX,1d,quantile_3_rolling_60,low_vol,31,43.645161290322584,19.0
quantile,DAX,1d,quantile_3_rolling_60,medium_vol,55,24.6,16.0
quantile,DAX,1d,quantile_4_rolling_240,extreme_vol,26,39.03846153846154,10.0
quantile,DAX,1d,quantile_4_rolling_240,high_vol,61,16.639344262295083,6.0
quantile,DAX,1d,quantile_4_rolling_240,low_vol,29,35.0,14.0
quantile,DAX,1d,quantile_4_rolling_240,medium_vol,63,16.095238095238095,9.0
quantile,DAX,1d,quantile_4_rolling_30,extreme_vol,26,39.03846153846154,10.0
quantile,DAX,1d,quantile_4_rolling_30,high_vol,61,16.639344262295083,6.0
quantile,DAX,1d,quantile_4_rolling_30,low_vol,29,35.0,14.0
quantile,DAX,1d,quantile_4_rolling_30,medium_vol,63,16.095238095238095,9.0
quantile,DAX,1d,quantile_4_rolling_60,extreme_vol,26,39.03846153846154,10.0
quantile,DAX,1d,quantile_4_rolling_60,high_vol,61,16.639344262295083,6.0
quantile,DAX,1d,quantile_4_rolling_60,low_vol,29,35.0,14.0
quantile,DAX,1d,quantile_4_rolling_60,medium_vol,63,16.095238095238095,9.0
quantile,ETHUSDT,15m,quantile_2_rolling_240,high_vol,1207,87.10853355426677,33.0
quantile,ETHUSDT,15m,quantile_2_rolling_240,low_vol,1208,87.0364238410596,19.5
quantile,ETHUSDT,15m,quantile_2_rolling_30,high_vol,1207,87.10853355426677,33.0
quantile,ETHUSDT,15m,quantile_2_rolling_30,low_vol,1208,87.0364238410596,19.5
quantile,ETHUSDT,15m,quantile_2_rolling_60,high_vol,1207,87.10853355426677,33.0
quantile,ETHUSDT,15m,quantile_2_rolling_60,low_vol,1208,87.0364238410596,19.5
quantile,ETHUSDT,15m,quantile_3_rolling_240,high_vol,1072,65.38619402985074,27.0
quantile,ETHUSDT,15m,quantile_3_rolling_240,low_vol,1134,61.810405643738974,15.0
quantile,ETHUSDT,15m,quantile_3_rolling_240,medium_vol,2181,32.138010087116,17.0
quantile,ETHUSDT,15m,quantile_3_rolling_30,high_vol,1072,65.38619402985074,27.0
quantile,ETHUSDT,15m,quantile_3_rolling_30,low_vol,1134,61.810405643738974,15.0
quantile,ETHUSDT,15m,quantile_3_rolling_30,medium_vol,2181,32.138010087116,17.0
quantile,ETHUSDT,15m,quantile_3_rolling_60,high_vol,1072,65.38619402985074,27.0
quantile,ETHUSDT,15m,quantile_3_rolling_60,low_vol,1134,61.810405643738974,15.0
quantile,ETHUSDT,15m,quantile_3_rolling_60,medium_vol,2181,32.138010087116,17.0
quantile,ETHUSDT,15m,quantile_4_rolling_240,extreme_vol,907,57.960308710033075,23.0
quantile,ETHUSDT,15m,quantile_4_rolling_240,high_vol,2072,25.37162162162162,14.0
quantile,ETHUSDT,15m,quantile_4_rolling_240,low_vol,878,59.874715261959,19.0
quantile,ETHUSDT,15m,quantile_4_rolling_240,medium_vol,2037,25.807560137457045,15.0
quantile,ETHUSDT,15m,quantile_4_rolling_30,extreme_vol,907,57.960308710033075,23.0
quantile,ETHUSDT,15m,quantile_4_rolling_30,high_vol,2072,25.37162162162162,14.0
quantile,ETHUSDT,15m,quantile_4_rolling_30,low_vol,878,59.874715261959,19.0
quantile,ETHUSDT,15m,quantile_4_rolling_30,medium_vol,2037,25.807560137457045,15.0
quantile,ETHUSDT,15m,quantile_4_rolling_60,extreme_vol,907,57.960308710033075,23.0
quantile,ETHUSDT,15m,quantile_4_rolling_60,high_vol,2072,25.37162162162162,14.0
quantile,ETHUSDT,15m,quantile_4_rolling_60,low_vol,878,59.874715261959,19.0
quantile,ETHUSDT,15m,quantile_4_rolling_60,medium_vol,2037,25.807560137457045,15.0
quantile,ETHUSDT,1d,quantile_2_rolling_240,high_vol,29,37.793103448275865,4.0
quantile,ETHUSDT,1d,quantile_2_rolling_240,low_vol,29,37.793103448275865,12.0
quantile,ETHUSDT,1d,quantile_2_rolling_30,high_vol,29,37.793103448275865,4.0
quantile,ETHUSDT,1d,quantile_2_rolling_30,low_vol,29,37.793103448275865,12.0
quantile,ETHUSDT,1d,quantile_2_rolling_60,high_vol,29,37.793103448275865,4.0
quantile,ETHUSDT,1d,quantile_2_rolling_60,low_vol,29,37.793103448275865,12.0
quantile,ETHUSDT,1d,quantile_3_rolling_240,high_vol,20,36.55,15.5
quantile,ETHUSDT,1d,quantile_3_rolling_240,low_vol,17,43.0,10.0
quantile,ETHUSDT,1d,quantile_3_rolling_240,medium_vol,37,19.72972972972973,6.0
quantile,ETHUSDT,1d,quantile_3_rolling_30,high_vol,20,36.55,15.5
quantile,ETHUSDT,1d,quantile_3_rolling_30,low_vol,17,43.0,10.0
quantile,ETHUSDT,1d,quantile_3_rolling_30,medium_vol,37,19.72972972972973,6.0
quantile,ETHUSDT,1d,quantile_3_rolling_60,high_vol,20,36.55,15.5
quantile,ETHUSDT,1d,quantile_3_rolling_60,low_vol,17,43.0,10.0
quantile,ETHUSDT,1d,quantile_3_rolling_60,medium_vol,37,19.72972972972973,6.0
quantile,ETHUSDT,1d,quantile_4_rolling_240,extreme_vol,21,26.095238095238095,7.0
quantile,ETHUSDT,1d,quantile_4_rolling_240,high_vol,50,10.96,4.0
quantile,ETHUSDT,1d,quantile_4_rolling_240,low_vol,17,32.23529411764706,3.0
quantile,ETHUSDT,1d,quantile_4_rolling_240,medium_vol,45,12.177777777777777,7.0
quantile,ETHUSDT,1d,quantile_4_rolling_30,extreme_vol,21,26.095238095238095,7.0
quantile,ETHUSDT,1d,quantile_4_rolling_30,high_vol,50,10.96,4.0
quantile,ETHUSDT,1d,quantile_4_rolling_30,low_vol,17,32.23529411764706,3.0
quantile,ETHUSDT,1d,quantile_4_rolling_30,medium_vol,45,12.177777777777777,7.0
quantile,ETHUSDT,1d,quantile_4_rolling_60,extreme_vol,21,26.095238095238095,7.0
quantile,ETHUSDT,1d,quantile_4_rolling_60,high_vol,50,10.96,4.0
quantile,ETHUSDT,1d,quantile_4_rolling_60,low_vol,17,32.23529411764706,3.0
quantile,ETHUSDT,1d,quantile_4_rolling_60,medium_vol,45,12.177777777777777,7.0
quantile,ETHUSDT,1h,quantile_2_rolling_240,high_vol,339,77.54867256637168,41.0
