asset,frequency,regime_method_hmm,regime_method_quantile,regime_label_hmm,regime_label_quantile,count
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,low_vol,low_vol,10788
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,low_vol,medium_vol,7194
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,medium_vol,high_vol,7842
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,medium_vol,low_vol,5740
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,medium_vol,medium_vol,7881
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,extreme_vol,high_vol,476
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,extreme_vol,low_vol,12
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,extreme_vol,medium_vol,59
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,high_vol,high_vol,5883
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,high_vol,low_vol,986
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,high_vol,medium_vol,2391
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,low_vol,high_vol,3325
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,low_vol,low_vol,10788
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,low_vol,medium_vol,7194
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,medium_vol,high_vol,7842
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,medium_vol,low_vol,5740
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,medium_vol,medium_vol,7881
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,extreme_vol,extreme_vol,447
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,extreme_vol,high_vol,71
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,extreme_vol,low_vol,6
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,extreme_vol,medium_vol,23
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,high_vol,extreme_vol,5005
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,high_vol,high_vol,2319
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,high_vol,low_vol,615
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,high_vol,medium_vol,1321
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,low_vol,extreme_vol,1996
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,low_vol,high_vol,4441
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,low_vol,low_vol,8520
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,low_vol,medium_vol,6350
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,medium_vol,extreme_vol,5697
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,medium_vol,high_vol,6313
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,medium_vol,low_vol,4003
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,medium_vol,medium_vol,5450
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,extreme_vol,extreme_vol,447
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,extreme_vol,high_vol,71
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,extreme_vol,low_vol,6
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,extreme_vol,medium_vol,23
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,high_vol,extreme_vol,5005
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,high_vol,high_vol,2319
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,high_vol,low_vol,615
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,high_vol,medium_vol,1321
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,low_vol,extreme_vol,1996
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,low_vol,high_vol,4441
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,low_vol,low_vol,8520
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,low_vol,medium_vol,6350
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,medium_vol,extreme_vol,5697
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,medium_vol,high_vol,6313
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,medium_vol,low_vol,4003
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,medium_vol,medium_vol,5450
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,extreme_vol,extreme_vol,447
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,extreme_vol,high_vol,71
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,extreme_vol,low_vol,6
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,extreme_vol,medium_vol,23
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,high_vol,extreme_vol,5005
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,high_vol,high_vol,2319
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,high_vol,low_vol,615
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,high_vol,medium_vol,1321
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,low_vol,extreme_vol,1996
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,low_vol,high_vol,4441
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,low_vol,low_vol,8520
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,low_vol,medium_vol,6350
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,medium_vol,extreme_vol,5697
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,medium_vol,high_vol,6313
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,medium_vol,low_vol,4003
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,medium_vol,medium_vol,5450
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,extreme_vol,high_vol,190093
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,extreme_vol,low_vol,9382
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,high_vol,high_vol,775978
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,high_vol,low_vol,195193
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,low_vol,high_vol,194440
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,low_vol,low_vol,675164
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,medium_vol,high_vol,416567
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,medium_vol,low_vol,697338
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,extreme_vol,high_vol,190093
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,extreme_vol,low_vol,9382
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,high_vol,high_vol,775978
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,high_vol,low_vol,195193
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,low_vol,high_vol,194440
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,low_vol,low_vol,675164
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,medium_vol,high_vol,416567
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,medium_vol,low_vol,697338
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_60,extreme_vol,high_vol,190093
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_60,extreme_vol,low_vol,9382
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_60,high_vol,high_vol,775978
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_60,high_vol,low_vol,195193
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_60,low_vol,high_vol,194440
