asset,frequency,hmm_method,quantile_method,observations,adjusted_rand_index,normalized_mutual_information,sklearn_available
GBPUSD,1d,hmm_4_states,quantile_4_rolling_240,2863,0.043271552464208544,0.06657846598349534,True
GBPUSD,1d,hmm_4_states,quantile_4_rolling_30,2863,0.043271552464208544,0.06657846598349534,True
GBPUSD,1d,hmm_4_states,quantile_4_rolling_60,2863,0.043271552464208544,0.06657846598349534,True
NASDAQ100,1d,hmm_4_states,quantile_2_rolling_240,4024,0.03441685851921017,0.05754946901047815,True
NASDAQ100,1d,hmm_4_states,quantile_2_rolling_30,4024,0.03441685851921017,0.05754946901047815,True
NASDAQ100,1d,hmm_4_states,quantile_2_rolling_60,4024,0.03441685851921017,0.05754946901047815,True
NASDAQ100,1d,hmm_4_states,quantile_3_rolling_240,4024,0.034261752495981186,0.0586531843702851,True
NASDAQ100,1d,hmm_4_states,quantile_3_rolling_30,4024,0.034261752495981186,0.0586531843702851,True
NASDAQ100,1d,hmm_4_states,quantile_3_rolling_60,4024,0.034261752495981186,0.0586531843702851,True
NASDAQ100,1d,hmm_4_states,quantile_4_rolling_240,4024,0.030780019862320682,0.05653942516763926,True
NASDAQ100,1d,hmm_4_states,quantile_4_rolling_30,4024,0.030780019862320682,0.05653942516763926,True
NASDAQ100,1d,hmm_4_states,quantile_4_rolling_60,4024,0.030780019862320682,0.05653942516763926,True
SP500,1d,hmm_4_states,quantile_2_rolling_240,4024,0.058710928606415094,0.07585944241329301,True
SP500,1d,hmm_4_states,quantile_2_rolling_30,4024,0.058710928606415094,0.07585944241329301,True
SP500,1d,hmm_4_states,quantile_2_rolling_60,4024,0.058710928606415094,0.07585944241329301,True
SP500,1d,hmm_4_states,quantile_3_rolling_240,4024,0.053524183203596656,0.07520004891262246,True
SP500,1d,hmm_4_states,quantile_3_rolling_30,4024,0.053524183203596656,0.07520004891262246,True
SP500,1d,hmm_4_states,quantile_3_rolling_60,4024,0.053524183203596656,0.07520004891262246,True
SP500,1d,hmm_4_states,quantile_4_rolling_240,4024,0.05202287043056412,0.08013297990991551,True
