asset,frequency,mode,regime_method,window_length,profile_type,runtime_seconds
ETHUSDT,15m,conditioned,quantile_3_rolling_30,32,univariate,9.629231904633343
ETHUSDT,15m,conditioned,quantile_3_rolling_30,64,multivariate,153.3287676749751
ETHUSDT,15m,conditioned,quantile_3_rolling_30,64,univariate,7.638847772963345
ETHUSDT,15m,conditioned,quantile_3_rolling_30,128,multivariate,112.35487554315478
ETHUSDT,15m,conditioned,quantile_3_rolling_30,128,univariate,5.294611206278205
ETHUSDT,15m,conditioned,quantile_3_rolling_30,256,multivariate,56.61345589533448
ETHUSDT,15m,conditioned,quantile_3_rolling_30,256,univariate,2.7402001144364476
ETHUSDT,15m,conditioned,quantile_3_rolling_60,32,multivariate,182.3436730792746
ETHUSDT,15m,conditioned,quantile_3_rolling_60,32,univariate,9.637131157331169
ETHUSDT,15m,conditioned,quantile_3_rolling_60,64,multivariate,153.4103538459167
ETHUSDT,15m,conditioned,quantile_3_rolling_60,64,univariate,7.564187449403107
ETHUSDT,15m,conditioned,quantile_3_rolling_60,128,multivariate,112.60333601478487
ETHUSDT,15m,conditioned,quantile_3_rolling_60,128,univariate,5.26729132886976
ETHUSDT,15m,conditioned,quantile_3_rolling_60,256,multivariate,56.61854937300086
ETHUSDT,15m,conditioned,quantile_3_rolling_60,256,univariate,2.715848566032946
ETHUSDT,15m,conditioned,quantile_4_rolling_240,32,multivariate,105.00165391527116
ETHUSDT,15m,conditioned,quantile_4_rolling_240,32,univariate,6.133493951521814
ETHUSDT,15m,conditioned,quantile_4_rolling_240,64,multivariate,85.88900729641318
ETHUSDT,15m,conditioned,quantile_4_rolling_240,64,univariate,4.727527006529272
ETHUSDT,15m,conditioned,quantile_4_rolling_240,128,multivariate,56.10383113846183
ETHUSDT,15m,conditioned,quantile_4_rolling_240,128,univariate,3.0329415537416935
ETHUSDT,15m,conditioned,quantile_4_rolling_240,256,multivariate,26.036168286576867
ETHUSDT,15m,conditioned,quantile_4_rolling_240,256,univariate,1.346245750784874
ETHUSDT,15m,conditioned,quantile_4_rolling_30,32,multivariate,105.51681002601981
ETHUSDT,15m,conditioned,quantile_4_rolling_30,32,univariate,6.2107849176973104
ETHUSDT,15m,conditioned,quantile_4_rolling_30,64,multivariate,85.75320632290095
ETHUSDT,15m,conditioned,quantile_4_rolling_30,64,univariate,4.811721484176815
ETHUSDT,15m,conditioned,quantile_4_rolling_30,128,multivariate,56.42741476930678
ETHUSDT,15m,conditioned,quantile_4_rolling_30,128,univariate,3.0955781415104866
ETHUSDT,15m,conditioned,quantile_4_rolling_30,256,multivariate,26.588902686722577
ETHUSDT,15m,conditioned,quantile_4_rolling_30,256,univariate,1.374293397180736
ETHUSDT,15m,conditioned,quantile_4_rolling_60,32,multivariate,103.72002301644534
ETHUSDT,15m,conditioned,quantile_4_rolling_60,32,univariate,6.168137229979038
ETHUSDT,15m,conditioned,quantile_4_rolling_60,64,multivariate,85.05828881822526
ETHUSDT,15m,conditioned,quantile_4_rolling_60,64,univariate,4.8209361070767045
ETHUSDT,15m,conditioned,quantile_4_rolling_60,128,multivariate,55.583260235376656
ETHUSDT,15m,conditioned,quantile_4_rolling_60,128,univariate,3.1004864433780313
ETHUSDT,15m,conditioned,quantile_4_rolling_60,256,multivariate,26.785903736948967
ETHUSDT,15m,conditioned,quantile_4_rolling_60,256,univariate,1.3785572871565819
ETHUSDT,1h,agnostic,none,24,multivariate,4891.305967010558
ETHUSDT,1h,agnostic,none,24,univariate,19.834901811555028
